informe,comunidad autónoma,dosis Pfizer,dosis Pfizer pediátrica,dosis Moderna,dosis AstraZeneca,dosis Janssen,dosis entregadas,dosis administradas,% sobre entregadas,personas con al menos una dosis,personas con pauta completa,% pautas incompletas,personas con dosis adicionales,última vacuna registrada
05/01/2021,Navarra,11.850,,,,,11.850,2.651,"22,4%",,,,,05/01/2021
05/01/2021,País Vasco,31.605,,,,,31.605,5.553,"17,6%",,,,,04/01/2021
05/01/2021,Ceuta,1.005,,,,,1.005,517,"51,4%",,,,,04/01/2021
05/01/2021,Melilla,1.005,,,,,1.005,341,"33,9%",,,,,04/01/2021
05/01/2021,Totales,743.925,,,,,743.925,139.339,"18,7%",,,,,
07/01/2021,Andalucía,140.295,,,,,140.295,53.934,"38,4%",,,,,06/01/2021
07/01/2021,Aragón,23.715,,,,,23.715,6.186,"26,1%",,,,,06/01/2021
07/01/2021,Asturias,23.720,,,,,23.720,14.406,"60,7%",,,,,06/01/2021
07/01/2021,Baleares,12.840,,,,,12.840,3.190,"24,8%",,,,,05/01/2021
07/01/2021,Canarias,27.660,,,,,27.660,7.330,"26,5%",,,,,06/01/2021
07/01/2021,Cantabria,11.850,,,,,11.850,1.564,"13,2%",,,,,07/01/2021
07/01/2021,Castilla y Leon,51.390,,,,,51.390,22.103,"43,0%",,,,,06/01/2021
07/01/2021,Castilla La Mancha,35.550,,,,,35.550,7.666,"21,6%",,,,,06/01/2021
07/01/2021,Cataluña,120.545,,,,,120.545,24.515,"20,3%",,,,,06/01/2021
07/01/2021,C. Valenciana,61.225,,,,,61.225,11.677,"19,1%",,,,,07/01/2021
07/01/2021,Extremadura,21.725,,,,,21.725,3.309,"15,2%",,,,,05/01/2021
07/01/2021,Galicia,37.555,,,,,37.555,20.265,"54,0%",,,,,07/01/2021
07/01/2021,La Rioja,5.915,,,,,5.915,858,"14,5%",,,,,06/01/2021
07/01/2021,Madrid,98.790,,,,,98.790,11.337,"11,5%",,,,,07/01/2021
07/01/2021,Murcia,25.685,,,,,25.685,7.287,"28,4%",,,,,07/01/2021
07/01/2021,Navarra,11.850,,,,,11.850,2.960,"25,0%",,,,,06/01/2021
07/01/2021,País Vasco,31.605,,,,,31.605,7.734,"24,5%",,,,,06/01/2021
